PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,TEAM_COUNT,YEARS_PLAYED,PTS_Z,REB_Z,AST_Z,BLK_Z,STL_Z
1631126,Caleb Love,1610612757,POR,24.0,49,24,25,0.49,20.7,3.9,10.0,0.388,1.9,6.0,0.318,0.7,1.0,0.735,2.3,2.5,1.3,0.6,0.1,34,48,36,10.4,-127,1,1,-0.65,-1.16,-0.38,-1.03,-1.01
1642285,Cam Spencer,1610612763,MEM,26.0,72,23,49,0.319,23.8,3.7,7.7,0.473,2.0,4.5,0.449,1.8,1.9,0.94,2.5,5.6,1.3,0.7,0.2,17,103,94,11.1,-89,1,2,-0.53,-1.07,1.29,-0.79,-0.71
1630560,Cam Thomas,1610612749,MIL,24.0,42,12,30,0.286,21.0,4.5,11.0,0.41,1.2,4.0,0.31,3.3,4.0,0.811,1.7,2.6,1.8,0.2,0.1,28,43,149,13.5,-213,2,5,-0.11,-1.43,-0.33,-1.03,-2.2
1629661,Cameron Johnson,1610612743,DEN,30.0,54,37,17,0.685,30.5,4.2,8.8,0.48,2.0,4.7,0.43,1.7,2.1,0.839,3.8,2.4,0.9,0.7,0.4,27,125,87,12.2,343,1,7,-0.34,-0.48,-0.44,-0.31,-0.71
1641717,Cason Wallace,1610612760,OKC,22.0,77,61,16,0.792,26.6,3.3,7.6,0.432,1.3,3.7,0.351,0.7,0.9,0.809,3.1,2.6,0.9,1.9,0.4,40,154,63,8.6,532,1,3,-0.96,-0.79,-0.33,-0.31,2.88
1642907,Cedric Coward,1610612763,MEM,22.0,62,20,42,0.323,25.8,4.9,10.5,0.471,1.5,4.4,0.338,2.3,2.7,0.843,5.9,2.8,1.7,0.6,0.4,46,126,133,13.6,23,1,1,-0.09,0.48,-0.22,-0.31,-1.01
1631096,Chet Holmgren,1610612760,OKC,24.0,69,56,13,0.812,28.9,6.3,11.3,0.557,1.3,3.5,0.362,3.3,4.1,0.792,8.9,1.7,1.6,0.6,1.9,52,158,260,17.1,678,1,4,0.52,1.84,-0.81,3.26,-1.01
1631128,Christian Braun,1610612743,DEN,25.0,44,29,15,0.659,31.8,4.6,8.8,0.519,1.0,3.2,0.301,1.8,2.3,0.782,4.8,2.7,1.0,0.7,0.3,31,103,74,12.0,291,1,4,-0.37,-0.02,-0.27,-0.55,-0.71
1629632,Coby White,1610612766,CHA,26.0,50,29,21,0.58,25.0,5.6,12.5,0.446,2.3,6.4,0.362,3.9,4.8,0.817,3.4,4.0,2.6,0.5,0.1,35,111,185,17.4,94,2,7,0.57,-0.66,0.43,-1.03,-1.3
1642262,Cody Williams,1610612762,UTA,21.0,67,16,51,0.239,24.3,3.6,7.6,0.468,0.4,2.0,0.214,1.3,1.8,0.706,3.0,2.0,1.1,0.8,0.4,44,122,84,8.8,-393,1,2,-0.93,-0.84,-0.65,-0.31,-0.41
1631221,Collin Gillespie,1610612756,PHX,26.0,80,43,37,0.538,28.5,4.4,10.5,0.418,2.9,7.2,0.401,1.0,1.1,0.874,4.1,4.6,1.6,1.2,0.2,30,130,138,12.6,200,1,4,-0.27,-0.34,0.75,-0.79,0.79
1642867,Collin Murray-Boyles,1610612761,TOR,21.0,57,31,26,0.544,21.9,3.5,6.0,0.579,0.3,0.9,0.34,1.2,1.9,0.657,5.0,1.9,1.0,0.9,0.9,27,147,84,8.5,47,1,1,-0.98,0.07,-0.71,0.88,-0.11
1629012,Collin Sexton,1610612741,CHI,27.0,68,25,43,0.368,23.7,5.3,10.9,0.485,1.6,4.1,0.401,3.2,3.8,0.855,2.3,3.3,2.1,1.1,0.1,58,144,230,15.4,-118,2,8,0.22,-1.16,0.05,-1.03,0.49
1642843,Cooper Flagg,1610612742,DAL,19.0,70,22,48,0.314,33.5,8.0,17.1,0.468,1.0,3.5,0.295,4.0,4.9,0.827,6.7,4.5,2.3,1.2,0.9,80,142,289,21.0,-266,1,1,1.2,0.84,0.7,0.88,0.79
1631342,Daeqwon Plowden,1610612758,SAC,27.0,32,9,23,0.281,26.4,3.8,8.7,0.43,1.9,5.8,0.333,1.3,1.5,0.857,3.0,1.3,0.8,0.7,0.2,12,78,42,10.8,-205,1,2,-0.58,-0.84,-1.03,-0.79,-0.71
1629655,Daniel Gafford,1610612742,DAL,27.0,55,12,43,0.218,21.7,3.8,5.7,0.655,0.0,0.0,0.0,2.0,2.9,0.683,6.9,1.1,1.1,0.8,1.3,41,144,149,9.5,-188,1,7,-0.81,0.93,-1.14,1.83,-0.41
1642450,Daniss Jenkins,1610612765,DET,24.0,72,54,18,0.75,20.2,3.2,7.9,0.408,1.0,2.7,0.374,1.9,2.2,0.832,2.3,3.9,1.6,0.9,0.2,51,107,146,9.3,209,1,2,-0.84,-1.16,0.37,-0.79,-0.11
1642874,Danny Wolf,1610612751,BKN,22.0,57,14,43,0.246,20.8,3.1,7.7,0.405,1.2,3.7,0.322,1.5,1.9,0.771,4.9,2.2,1.3,0.5,0.6,32,126,72,8.9,-231,1,1,-0.91,0.02,-0.54,0.16,-1.3
1629636,Darius Garland,1610612746,LAC,26.0,45,26,19,0.578,29.9,6.9,14.9,0.46,2.7,6.8,0.396,2.3,2.7,0.861,2.4,6.7,2.9,1.0,0.2,28,84,116,18.8,84,2,7,0.81,-1.11,1.88,-0.79,0.19
1630558,Davion Mitchell,1610612748,MIA,27.0,70,37,33,0.529,28.6,3.7,7.6,0.49,1.3,3.3,0.395,0.6,0.9,0.646,2.7,6.5,1.5,1.0,0.2,22,181,85,9.3,202,1,5,-0.84,-0.97,1.78,-0.79,0.19
1628368,De'Aaron Fox,1610612759,SAS,28.0,72,55,17,0.764,31.0,7.1,14.5,0.486,1.8,5.5,0.332,2.6,3.4,0.76,3.8,6.2,2.3,1.2,0.3,54,162,190,18.6,452,1,9,0.78,-0.48,1.61,-0.55,0.79
1629631,De'Andre Hunter,1610612758,SAC,28.0,45,24,21,0.533,26.1,4.6,11.1,0.415,1.7,5.5,0.305,2.8,3.2,0.867,4.1,2.0,1.7,0.7,0.1,19,112,138,13.7,-21,2,7,-0.08,-0.34,-0.65,-1.03,-0.71
1629001,De'Anthony Melton,1610612744,GSW,28.0,49,22,27,0.449,23.0,4.4,10.8,0.407,1.5,5.0,0.294,2.0,2.5,0.826,3.2,2.6,1.9,1.6,0.4,31,91,94,12.3,95,1,8,-0.32,-0.75,-0.33,-0.31,1.98
201942,DeMar DeRozan,1610612758,SAC,36.0,77,20,57,0.26,31.2,6.5,13.1,0.497,0.6,1.9,0.32,4.9,5.6,0.868,2.9,4.1,1.2,1.0,0.3,38,149,308,18.4,-588,1,17,0.74,-0.88,0.48,-0.55,0.19
1629731,Dean Wade,1610612739,CLE,29.0,59,36,23,0.61,22.3,2.1,4.7,0.439,1.2,3.3,0.362,0.5,0.6,0.711,4.2,1.5,0.3,0.7,0.4,11,90,44,5.8,151,1,7,-1.45,-0.29,-0.92,-0.31,-0.71
1629028,Deandre Ayton,1610612747,LAL,27.0,72,46,26,0.639,27.2,5.6,8.3,0.671,0.0,0.0,0.0,1.3,2.0,0.645,8.0,0.8,1.2,0.6,1.0,27,157,117,12.5,-8,1,8,-0.28,1.43,-1.3,1.12,-1.01
1630166,Deni Avdija,1610612757,POR,25.0,66,35,31,0.53,33.3,7.5,16.1,0.462,1.9,6.0,0.318,7.4,9.2,0.802,6.9,6.7,3.8,0.8,0.6,79,168,433,24.2,16,1,6,1.75,0.93,1.88,0.16,-0.41
203471,Dennis Schröder,1610612739,CLE,32.0,70,29,41,0.414,24.2,3.6,9.0,0.405,1.1,3.3,0.329,2.4,2.9,0.834,2.7,4.9,1.8,0.8,0.2,45,109,171,10.8,-235,2,13,-0.58,-0.97,0.91,-0.79,-0.41
1642852,Derik Queen,1610612740,NOP,21.0,81,26,55,0.321,25.0,4.4,9.2,0.473,0.3,1.1,0.261,2.7,3.4,0.795,7.1,3.7,2.3,1.0,0.9,61,215,220,11.7,-304,1,1,-0.42,1.02,0.27,0.88,0.19
1627884,Derrick Jones Jr.,1610612746,LAC,29.0,50,26,24,0.52,27.0,3.8,7.6,0.499,1.1,3.1,0.359,1.4,1.9,0.763,3.5,1.4,0.8,0.9,1.0,20,104,90,10.1,130,1,10,-0.7,-0.61,-0.97,1.12,-0.11
1628401,Derrick White,1610612738,BOS,31.0,77,52,25,0.675,34.1,5.7,14.4,0.394,2.7,8.3,0.327,2.4,2.6,0.902,4.4,5.4,1.7,1.1,1.3,34,119,215,16.5,598,1,9,0.41,-0.2,1.18,1.83,0.49
1630217,Desmond Bane,1610612753,ORL,27.0,82,45,37,0.549,33.6,7.1,14.7,0.484,2.0,5.2,0.391,3.8,4.2,0.908,4.1,4.1,2.0,1.0,0.5,82,252,230,20.1,135,1,6,1.04,-0.34,0.48,-0.07,0.19
1626164,Devin Booker,1610612756,PHX,29.0,64,37,27,0.578,33.5,8.5,18.7,0.456,1.9,5.8,0.33,7.1,8.1,0.873,3.9,6.0,3.1,0.8,0.3,63,168,430,26.1,201,1,11,2.08,-0.43,1.51,-0.55,-0.41
1630170,Devin Vassell,1610612759,SAS,25.0,67,52,15,0.776,30.5,4.9,11.3,0.437,2.5,6.4,0.384,1.6,1.9,0.815,4.0,2.5,0.9,0.9,0.4,18,106,91,13.9,492,1,6,-0.04,-0.39,-0.38,-0.31,-0.11
1628415,Dillon Brooks,1610612756,PHX,30.0,56,32,24,0.571,30.4,7.4,17.1,0.435,2.3,6.6,0.344,3.0,3.6,0.842,3.6,1.8,1.8,1.0,0.2,29,183,187,20.2,-49,1,9,1.06,-0.57,-0.76,-0.79,0.19
1631230,Dominick Barlow,1610612755,PHI,23.0,71,40,31,0.563,23.8,3.0,5.6,0.539,0.3,1.2,0.256,1.3,1.8,0.718,4.8,1.2,0.8,0.9,0.7,26,150,107,7.7,27,1,4,-1.12,-0.02,-1.08,0.4,-0.11
1642270,Donovan Clingan,1610612757,POR,22.0,77,41,36,0.532,27.2,4.6,8.9,0.52,1.1,3.2,0.341,1.8,2.6,0.68,11.6,2.1,1.2,0.6,1.7,41,182,175,12.1,14,1,2,-0.35,3.06,-0.6,2.78,-1.01
